MOLREGNO	CHEMBLID	SYNONYMS	MAX_PHASE	MOLWEIGHT	ALOGP	PSA	HBA	HBD	RO5	RTB	RO3	ACD_MOST_APKA	ACD_MOST_BPKA	ACD_LOGP	ACD_LOGD	AROMATIC_RINGS	HEAVY_ATOMS	QED_WEIGHTED	HBA_LIPINSKI	HBD_LIPINSKI	NUM_LIPINSKI_RO5_VIOLATIONS	MW_MONOISOTOPIC	MOLECULAR_SPECIES	FULL_MOLFORMULA	CANONICAL_SMILES
62992	CHEMBL40369		0	330.42	1.07	138.47	6	2	0	5	N	4.1	.93	-2.3	-5.5	0	21	.57	6	2	0	330.0708	ACID	C13H18N2O4S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N(C)C
63025	CHEMBL295201		0	344.45	1.42	138.47	6	2	0	6	N	4.1	.93	-1.79	-4.99	0	22	.55	6	2	0	344.0864	ACID	C14H20N2O4S2	CCN(C)C(=S)SC1=C(N2[C@H]([C@H]1C)[C@@H]([C@@H](C)O)C2=O)C(=O)O
63050	CHEMBL42083		0	398.52	2.53	166.7	6	2	0	6	N	4.05		-1.08	-4.31	1	25	.55	6	2	0	398.0429	ACID	C16H18N2O4S3	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N(C)c3cccs3
63051	CHEMBL43551		0	406.52	2.66	138.47	6	2	0	7	N	4.09	.9	-.67	-3.87	1	27	.53	6	2	0	406.1021	ACID	C19H22N2O4S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N(C)Cc3ccccc3
63052	CHEMBL295753		0	392.49	2.74	138.47	6	2	0	6	N	4.07		-.85	-4.07	1	26	.56	6	2	0	392.0864	ACID	C18H20N2O4S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N(C)c3ccccc3
63065	CHEMBL44251		0	358.48	1.94	138.47	6	2	0	7	N	4.1	.93	-1.28	-4.48	0	23	.53	6	2	0	358.1021	ACID	C15H22N2O4S2	CCCN(C)C(=S)SC1=C(N2[C@H]([C@H]1C)[C@@H]([C@@H](C)O)C2=O)C(=O)O
63066	CHEMBL43914		0	374.48	.88	158.69	7	3	0	8	N	4.1	.72	-2.43	-5.64	0	24	.42	7	3	0	374.097	ACID	C15H22N2O5S2	CCN(CCO)C(=S)SC1=C(N2[C@H]([C@H]1C)[C@@H]([C@@H](C)O)C2=O)C(=O)O
63089	CHEMBL291151		0	456.58	3.56	138.47	6	2	0	7	N	4.09	.66	.52	-2.69	2	31	.48	6	2	0	456.1177	ACID	C23H24N2O4S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N(C)Cc3cccc4ccccc34
63181	CHEMBL41734		0	385.5	-2.01	141.71	7	2	0	5	N	4.11	6.54	-2.55	-5.54	0	25	.41	7	2	0	385.113	ACID	C16H23N3O4S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N3CCN(C)CC3
63205	CHEMBL42834		0	342.43	1.08	138.47	6	2	0	5	N	4.09	.75	-2.59	-5.77	0	22	.57	6	2	0	342.0708	ACID	C14H18N2O4S2	C[C@@H](O)[C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SC(=S)N3CCCC3
63207	CHEMBL298008		0	476.63	1.26	138.47	6	2	0	7	N	4.11		-3.71	-3.11	1	32	.35	7	2	0	476.1678	ACID	C23H30N3O4S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N3CC[N+](C)(Cc4ccccc4)CC3
63208	CHEMBL43960		0	400.54	-.33	138.47	6	2	0	5	N	4.11		-5.6	-5	0	26	.37	7	2	0	400.1365	ACID	C17H26N3O4S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N3CC[N+](C)(C)CC3
63305	CHEMBL43620		0	441.5	-4.38	170.56	9	4	0	9	N	4.27	7.85	-1.39	-4.06	0	30	.2	10	4	0	441.157	ACID	C19H27N3O7S	COC(=O)CCNC(=O)[C@@H]1C[C@@H](CN1)SC2=C(N3[C@H]([C@H]2C)[C@@H]([C@@H](C)O)C3=O)C(=O)O
63306	CHEMBL43056		0	427.47	-4.61	181.56	9	5	0	8	N	4.26	7.99	-1.88	-5.58	0	29	.24	10	5	0	427.1413	ACID	C18H25N3O7S	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CN[C@@H](C3)C(=O)NCCC(=O)O
63550	CHEMBL296191		0	400.51	1.08	158.69	7	3	0	5	N	4.13	.13	-2.42	-5.57	0	26	.46	7	3	0	400.1127	ACID	C17H24N2O5S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N3CCCC(O)CC3
63551	CHEMBL298455		0	386.49	.5	158.69	7	3	0	5	N	4.13		-2.82	-5.97	0	25	.46	7	3	0	386.097	ACID	C16H22N2O5S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N3CCC(O)CC3
63552	CHEMBL297144		0	372.46	.44	158.69	7	3	0	5	N	4.1		-3.12	-6.3	0	24	.47	7	3	0	372.0814	ACID	C15H20N2O5S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N3CCC(O)C3
63553	CHEMBL42746		0	358.43	.38	158.69	7	3	0	5	N	4.1		-3.43	-6.61	0	23	.47	7	3	0	358.0657	ACID	C14H18N2O5S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N3CC(O)C3
63629	CHEMBL42484		0	384.51	2.45	138.47	6	2	0	5	N	4.13	.74	-1	-4.15	0	25	.55	6	2	0	384.1177	ACID	C17H24N2O4S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N3CCCCCC3
63661	CHEMBL43845		0	370.49	1.99	138.47	6	2	0	5	N	4.13	.74	-1.53	-4.68	0	24	.56	6	2	0	370.1021	ACID	C16H22N2O4S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N3CCCCC3
63665	CHEMBL433826		0	356.46	1.53	138.47	6	2	0	5	N	4.1	.74	-2.06	-5.22	0	23	.57	6	2	0	356.0864	ACID	C15H20N2O4S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N3CCCC3
63666	CHEMBL289481		0	400.51	1.21	158.69	7	3	0	10	N	4.09	.75	-1.89	-5.09	0	26	.28	7	3	0	400.1127	ACID	C17H24N2O5S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N(CCCO)CC=C
63728	CHEMBL416248		0	360.45	.53	158.69	7	3	0	7	N	4.09	.72	-2.94	-6.15	0	23	.44	7	3	0	360.0814	ACID	C14H20N2O5S2	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC(=S)N(C)CCO
63783	CHEMBL44413		0	358.48	1.77	138.47	6	2	0	7	N	4.1	.93	-1.28	-4.48	0	23	.53	6	2	0	358.1021	ACID	C15H22N2O4S2	CCN(CC)C(=S)SC1=C(N2[C@H]([C@H]1C)[C@@H]([C@@H](C)O)C2=O)C(=O)O
64561	CHEMBL415921		0	434.47	-.62	167.57	9	3	0	8	N	2.67	5.77	-1.18	-4.77	1	30	.21	10	4	0	434.126	ACID	C19H22N4O6S	CN(N)C(C(=O)N[C@H]1C2SCC(=C(N2C1=O)C(=O)O)COC(=O)C)c3ccccc3
64596	CHEMBL44601		0	362.4	-.11	150.06	7	4	0	5	N	3.12	5.61	-.57	-4.14	1	25	.32	8	5	0	362.1049	ACID	C16H18N4O4S	CC1=C(N2C(SC1)[C@H](NC(=O)C(NN)c3ccccc3)C2=O)C(=O)O
64953	CHEMBL296091		0	376.43	.09	141.27	7	3	0	5	N	3.12	5.77	-.45	-3.99	1	26	.38	8	4	0	376.1205	ACID	C17H20N4O4S	CN(N)C(C(=O)N[C@H]1C2SCC(=C(N2C1=O)C(=O)O)C)c3ccccc3
64954	CHEMBL296744		0	382.82	-.19	150.06	7	4	0	5	N	1.95	5.61	-.82	-4.47	1	25	.31	8	5	0	382.0503	ACID	C15H15ClN4O4S	NNC(C(=O)N[C@H]1C2SCC(=C(N2C1=O)C(=O)O)Cl)c3ccccc3
65467	CHEMBL46515		0	420.44	-.83	176.36	9	4	0	8	N	2.67	5.61	-1.31	-4.93	1	29	.18	10	5	0	420.1104	ACID	C18H20N4O6S	CC(=O)OCC1=C(N2C(SC1)[C@H](NC(=O)C(NN)c3ccccc3)C2=O)C(=O)O
66135	CHEMBL264372		0	428.44	-.4	172.98	9	2	0	7	N	1.74		.08	-3.66	1	28	.43	10	2	0	428.0348	ACID	C16H16N2O8S2	CS(=O)(=O)OC1=C(N2[C@H](SC1)[C@H](NC(=O)COc3ccccc3)C2=O)C(=O)O
66137	CHEMBL44593		0	410.4	-.55	147.69	8	2	0	7	N	3.9		-1.7	-5.02	1	28	.45	10	2	0	410.0784	ACID	C17H18N2O8S	CS(=O)(=O)OC1=C(N2[C@H](CC1)[C@H](NC(=O)COc3ccccc3)C2=O)C(=O)O
66138	CHEMBL46973		0	382.41	.49	166.54	7	2	0	6	N	2.13		-.1	-3.84	1	25	.53	8	2	0	382.0293	ACID	C15H14N2O6S2	COC(=O)C1=C(N2[C@H](SC1)[C@H](NC(=O)Cc3cccs3)C2=O)C(=O)O
66314	CHEMBL296247		0	360.36	.28	105.17	6	2	0	7	N	4.14		-.62	-3.79	1	26	.68	8	2	0	360.1321	ACID	C18H20N2O6	COCC1=C(N2[C@H](CC1)[C@H](NC(=O)COc3ccccc3)C2=O)C(=O)O
66315	CHEMBL264301		0	350.35	.26	152.24	6	3	0	5	N	3.4		-2.31	-6.9	1	24	.65	8	3	0	350.0573	ACID	C15H14N2O6S	OC(=O)C1=C(N2[C@H](CC1)[C@H](NC(=O)Cc3cccs3)C2=O)C(=O)O
66316	CHEMBL42986		0	368.38	.26	177.54	7	3	0	5	N	2.18		-.32	-5.05	1	24	.62	8	3	0	368.0137	ACID	C14H12N2O6S2	OC(=O)C1=C(N2[C@H](SC1)[C@H](NC(=O)Cc3cccs3)C2=O)C(=O)O
66665	CHEMBL46829		0	475.52	.5	204.63	9	3	0	7	N	2.43	1.7	-3.11	-2.56	2	32	.22	11	4	1	475.0858	ACID	C19H19N6O5S2	CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C[n+]3ccccc3)\c4csc(N)n4
66709	CHEMBL295283		0	457.48	.5	179.33	8	3	0	7	N	3.98	1.71	-4.66	-4.08	2	32	.23	11	4	1	457.1294	ACID	C20H21N6O5S	CO\N=C(/C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)C[n+]3ccccc3)\c4csc(N)n4
66866	CHEMBL297328		0	350.75	.75	95.94	5	2	0	5	N	3.13		-.53	-4.17	1	24	.76	7	2	0	350.0669	ACID	C16H15ClN2O5	OC(=O)C1=C(Cl)CC[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N12
67031	CHEMBL297994		0	342.41	-3.84	138.38	7	3	0	5	N	4.29	9.47	-2.77	-5.28	0	23	.44	7	4	0	342.1249	ZWITTERION	C15H22N2O5S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC3COC(CN)C3
67033	CHEMBL46812		0	342.41	-3.84	138.38	7	3	0	5	N	4.29	9.47	-2.69	-5.2	0	23	.44	7	4	0	342.1249	ZWITTERION	C15H22N2O5S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@H]3CCO[C@H]3CN
67064	CHEMBL44594		0	342.41	-3.84	138.38	7	3	0	5	N	4.29	9.47	-2.77	-5.28	0	23	.44	7	4	0	342.1249	ZWITTERION	C15H22N2O5S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@H]3CO[C@@H](CN)C3
67220	CHEMBL48108		0	413.49	-4.33	167.48	8	4	0	7	N	4.29	8.28	-3.06	-5.64	0	28	.3	9	5	0	413.1621	ACID	C18H27N3O6S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3COC[C@@H]3CNC(=O)[C@@H](C)N
67223	CHEMBL46668		0	413.49	-4.33	167.48	8	4	0	7	N	4.29	8.28	-3.06	-5.64	0	28	.3	9	5	0	413.1621	ACID	C18H27N3O6S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@H]3COC[C@H]3CNC(=O)[C@@H](C)N
67345	CHEMBL47184		0	413.49	-4.29	167.48	8	4	0	7	N	4.29	8.24	-2.46	-5.04	0	28	.3	9	5	0	413.1621	ACID	C18H27N3O6S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CCO[C@@H]3CNC(=O)[C@H](C)N
67347	CHEMBL46863		0	489.58	-2.74	167.48	8	4	0	9	N	4.29	7.14	-.58	-3.39	1	34	.27	9	5	0	489.1934	ACID	C24H31N3O6S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CCO[C@@H]3CNC(=O)[C@H](N)Cc4ccccc4
67397	CHEMBL47997		0	441.54	-3.45	167.48	8	4	0	8	N	4.29	8.33	-1.6	-4.17	0	30	.28	9	5	0	441.1934	ACID	C20H31N3O6S	CC(C)[C@@H](N)C(=O)NC[C@H]1OCC[C@H]1SC2=C(N3C([C@H]2C)[C@@H]([C@@H](C)O)C3=O)C(=O)O
67415	CHEMBL45226		0	330.34	.96	95.94	5	2	0	5	N	3.91		-.98	-4.36	1	24	.78	7	2	0	330.1216	ACID	C17H18N2O5	CC1=C(N2[C@H](CC1)[C@H](NC(=O)COc3ccccc3)C2=O)C(=O)O
67502	CHEMBL45435		0	365.36	-.65	175.45	8	3	0	5	N	4.13	1.71	-1.94	-5.11	1	25	.35	10	4	0	365.0794	ACID	C14H15N5O5S	CO\N=C(/C(=O)N[C@H]1[C@H]2CCC=C(N2C1=O)C(=O)O)\c3csc(N)n3
67506	CHEMBL47080		0	348.37	.97	121.24	6	2	0	5	N	3.12		1.05	-2.59	1	24	.77	7	2	0	348.078	ACID	C16H16N2O5S	CC1=C(N2[C@H](SC1)[C@H](NC(=O)COc3ccccc3)C2=O)C(=O)O
67543	CHEMBL43883		0	378.4	.28	130.47	7	2	0	7	N	2.78		.28	-3.42	1	26	.65	8	2	0	378.0886	ACID	C17H18N2O6S	COCC1=C(N2[C@H](SC1)[C@H](NC(=O)COc3ccccc3)C2=O)C(=O)O
67547	CHEMBL44431		0	368.79	.89	121.24	6	2	0	5	N	1.95		1.21	-2.53	1	24	.74	7	2	0	368.0234	ACID	C15H13ClN2O5S	OC(=O)C1=C(Cl)CS[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N12
67548	CHEMBL44432		0	364.37	.48	141.24	6	2	0	6	N	3.45		-1.88	-5.43	1	25	.56	8	2	0	364.0729	ACID	C16H16N2O6S	COC(=O)C1=C(N2[C@H](CC1)[C@H](NC(=O)Cc3cccs3)C2=O)C(=O)O
67610	CHEMBL295551		0	266.29	-3.34	103.86	5	3	0	2	N	3.64	10.03	-2.79	-5.29	0	19	.45	6	4	0	266.1267	ZWITTERION	C13H18N2O4	C[C@@H](O)[C@@H]1[C@H]2[C@H]3CCC[C@H](N)C3=C(N2C1=O)C(=O)O
67634	CHEMBL45161		0	413.49	-4.29	167.48	8	4	0	7	N	4.29	8.24	-2.46	-5.04	0	28	.3	9	5	0	413.1621	ACID	C18H27N3O6S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CCO[C@@H]3CNC(=O)[C@@H](C)N
67686	CHEMBL45320		0	399.46	-4.78	167.48	8	4	0	7	N	4.29	7.78	-2.82	-5.55	0	27	.31	9	5	0	399.1464	ACID	C17H25N3O6S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CCO[C@@H]3CNC(=O)CN
67706	CHEMBL47236		0	342.41	-3.87	138.38	7	3	0	5	N	4.29	9.96	-2.53	-5.03	0	23	.43	7	4	0	342.1249	ZWITTERION	C15H22N2O5S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@H]3COC[C@H]3CN
67707	CHEMBL296438		0	342.41	-3.84	138.38	7	3	0	5	N	4.29	9.47	-2.69	-5.2	0	23	.44	7	4	0	342.1249	ZWITTERION	C15H22N2O5S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@H]3CCO[C@@H]3CN
67708	CHEMBL295997		0	342.41	-3.84	138.38	7	3	0	5	N	4.29	9.47	-2.77	-5.28	0	23	.44	7	4	0	342.1249	ZWITTERION	C15H22N2O5S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CO[C@H](CN)C3
67716	CHEMBL298093		0	455.57	-3	167.48	8	4	0	9	N	4.29	8.36	-1.09	-3.65	0	31	.27	9	5	0	455.209	ACID	C21H33N3O6S	CC[C@@H](C)[C@@H](N)C(=O)NC[C@H]1OCC[C@H]1SC2=C(N3C([C@H]2C)[C@@H]([C@@H](C)O)C3=O)C(=O)O
67737	CHEMBL45326		0	342.41	-3.87	138.38	7	3	0	5	N	4.29	9.96	-2.53	-5.03	0	23	.43	7	4	0	342.1249	ZWITTERION	C15H22N2O5S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@H]3COC[C@@H]3CN
67739	CHEMBL45384		0	342.41	-3.87	138.38	7	3	0	5	N	4.29	9.96	-2.53	-5.03	0	23	.43	7	4	0	342.1249	ZWITTERION	C15H22N2O5S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3COC[C@@H]3CN
67745	CHEMBL45325		0	342.41	-3.84	138.38	7	3	0	5	N	4.29	9.47	-2.77	-5.28	0	23	.44	7	4	0	342.1249	ZWITTERION	C15H22N2O5S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@H]3CO[C@H](CN)C3
67772	CHEMBL43998		0	342.41	-3.87	138.38	7	3	0	5	N	4.29	9.96	-2.53	-5.03	0	23	.43	7	4	0	342.1249	ZWITTERION	C15H22N2O5S	C[C@@H](O)[C@@H]1C2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3COC[C@H]3CN
68387	CHEMBL48125		0	280.32	-3.13	89.87	5	3	0	3	N	3.65	9.15	-2.14	-4.65	0	20	.48	6	3	0	280.1423	ZWITTERION	C14H20N2O4	CN[C@H]1CCC[C@@H]2[C@@H]3[C@@H]([C@@H](C)O)C(=O)N3C(=C12)C(=O)O
68419	CHEMBL296890		0	294.35	-2.93	81.08	5	2	0	3	N	3.66	8.88	-2.02	-4.53	0	21	.55	6	2	0	294.158	ZWITTERION	C15H22N2O4	C[C@@H](O)[C@@H]1[C@H]2[C@H]3CCC[C@H](N(C)C)C3=C(N2C1=O)C(=O)O
68455	CHEMBL45216		0	334.41	-1.73	89.87	5	3	0	4	N	3.65	9.47	-.7	-3.2	0	24	.53	6	3	0	334.1893	ZWITTERION	C18H26N2O4	C[C@@H](O)[C@@H]1[C@H]2[C@H]3CCC[C@H](NC4CCCC4)C3=C(N2C1=O)C(=O)O
69074	CHEMBL47506		0	550.56	.27	224.64	11	2	2	8	N	2.52		-4.78	-4.18	1	37	.33	14	2	1	550.0941	ACID	C21H22N6O8S2	OC(=O)C1=C(COC(=O)\N=C\2/O[N-][N+](=C2)N3CCOCC3)CS[C@@H]4[C@H](NC(=O)Cc5cccs5)C(=O)N14
72329	CHEMBL299096	SCH-48375 | SCH-48678	0	401.5	5.53	38.77	3	0	1	8	N		.33	5.93	5.93	3	30	.47	4	0	1	401.1991	NEUTRAL	C26H27NO3	COc1ccc(cc1)[C@@H]2[C@H](CCCc3ccccc3)C(=O)N2c4ccc(OC)cc4
72958	CHEMBL432690		0	431.52	5.52	48	4	0	1	9	N		2.42	5.78	5.78	3	32	.42	5	0	1	431.2097	NEUTRAL	C27H29NO4	COc1cc(OC)c(N2[C@@H]([C@H](CCCc3ccccc3)C2=O)c4ccccc4)c(OC)c1
73316	CHEMBL50443		0	371.47	5.55	29.54	2	0	1	7	N		.26	5.8	5.8	3	28	.51	3	0	1	371.1885	NEUTRAL	C25H25NO2	COc1ccc(cc1)N2[C@@H]([C@H](CCCc3ccccc3)C2=O)c4ccccc4
74398	CHEMBL298097		0	340.32	-1.42	187.8	9	3	0	6	N	8.97	2.14	-.19	-3.94	1	23	.32	11	4	1	340.059	NEUTRAL	C11H12N6O5S	CO\N=C(\C(=O)NC1CN(\N=C\C(=O)O)C1=O)/c2csc(N)n2
74399	CHEMBL48346		0	342.33	-2.08	187.48	9	4	0	7	N	3.84	1.7	-.26	-3.4	1	23	.25	11	5	1	342.0746	ACID	C11H14N6O5S	CO\N=C(\C(=O)NC1CN(NCC(=O)O)C1=O)/c2csc(N)n2
74474	CHEMBL49197		0	382.39	-1.24	176.48	9	3	0	10	N	8.82	1.7	.83	.81	1	26	.15	11	4	1	382.1059	NEUTRAL	C14H18N6O5S	CO\N=C(\C(=O)NC1CN(NCC(=O)OCC=C)C1=O)/c2csc(N)n2
76614	CHEMBL52177		0	499.58	1.45	130.55	8	1	0	10	N	13.53	4.53	3.49	3.49	1	35	.29	9	1	0	499.1777	NEUTRAL	C25H29N3O6S	CN1C=CCC(=C1)C(=O)OCCOC(=O)C2N3[C@H](SC2(C)C)[C@H](NC(=O)Cc4ccccc4)C3=O
76766	CHEMBL891	Cloxacillin Benzathine | Cloxapen | Dariclox | Ekvacillin | Cloxacillin | Cloxacillin Sodium | Tegopen | Orbenin | P-25 | BRL-1621	4	435.88	2.3	138.04	6	2	0	4	N	2.44		2.83	-.9	2	29	.71	8	2	0	435.0656	ACID	C19H18ClN3O5S	Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(=O)O
76795	CHEMBL417193		0	499.58	1.45	130.55	8	1	0	10	N	13.53	4.53	3.49	3.49	1	35	.29	9	1	0	499.1777	NEUTRAL	C25H29N3O6S	CN1C=CCC(=C1)C(=O)OCCOC(=O)C2N3C(SC2(C)C)C(NC(=O)Cc4ccccc4)C3=O
76878	CHEMBL50190		0	548.65	1.42	133.35	7	2	1	9	N	13.1	3.86	4.15	4.15	1	39	.27	9	2	0	548.2093	NEUTRAL	C29H32N4O5S	CN1CC(=C2C=CC=CC2=C1)C(=O)NCCOC(=O)C3N4C(SC3(C)C)C(NC(=O)Cc5ccccc5)C4=O
77054	CHEMBL417013		0	461.49	0	173.44	7	4	0	5	N	2.44		.83	-2.9	1	32	.45	11	4	1	461.1369	ACID	C20H23N5O6S	CC1(C)S[C@@H]2[C@H](NC(=O)C(NC(=O)N3CCNC3=O)c4ccccc4)C(=O)N2[C@H]1C(=O)O
115361	CHEMBL73702		0	480.56	-.4	179.16	7	3	0	6	N	3.84	6.87	-.19	-3.3	3	33	.4	8	4	0	480.0926	ACID	C23H20N4O4S2	N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)Sc3nc4ccccc4s3)c5ccccc5
115371	CHEMBL73393		0	428.46	-2.91	168.73	8	3	0	6	N	3.84	6.87	-2.3	-5.43	2	30	.41	10	4	0	428.1267	ACID	C19H20N6O4S	Cn1cnnc1SC2=C(N3[C@H](CC2)[C@H](NC(=O)[C@H](N)c4ccccc4)C3=O)C(=O)O
115499	CHEMBL72591		0	157.17	.89	57.61	3	1	0	1	Y	-2.68		-.04	-3.2	0	11	.58	4	1	0	157.0739	ACID	C7H11NO3	CC(C)C1CN(C(=O)O)C1=O
115541	CHEMBL73377		0	511.62	-.84	213.2	8	5	1	9	N	3.98	8.33	-1.04	-3.62	2	35	.16	9	7	1	511.1348	ACID	C24H25N5O4S2	N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)Sc3ccccc3CSC(=N)N)c4ccccc4
115562	CHEMBL73238		0	294.35	2.81	49.41	2	1	0	4	N	12.94		2.36	2.36	2	22	.88	4	1	0	294.1368	NEUTRAL	C18H18N2O2	O=C(NCc1ccccc1)N2[C@@H](Cc3ccccc3)CC2=O
115602	CHEMBL303725		0	424.47	-1.63	150.91	7	3	0	6	N	3.92	6.87	-1.18	-4.29	2	30	.47	8	4	0	424.1205	ACID	C21H20N4O4S	N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)Sc3ccccn3)c4ccccc4
115635	CHEMBL73185		0	423.48	-1.02	138.03	6	3	0	6	N	4.07	6.87	-.28	-3.31	2	30	.51	7	4	0	423.1253	ACID	C22H21N3O4S	N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)Sc3ccccc3)c4ccccc4
115666	CHEMBL72306		0	361.42	-2.6	138.03	6	3	0	5	N	3.71	6.87	-1.63	-4.78	1	25	.49	7	4	0	361.1096	ACID	C17H19N3O4S	CSC1=C(N2[C@H](CC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(=O)O
115708	CHEMBL70291		0	502.38	-.27	138.03	6	3	1	6	N	3.95	6.87	.35	-2.73	2	31	.47	7	4	0	501.0358	ACID	C22H20BrN3O4S	N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)Sc3ccccc3Br)c4ccccc4
115733	CHEMBL431576		0	453.51	-1.63	158.26	7	4	0	7	N	3.99	6.87	-1.3	-4.37	2	32	.37	8	5	0	453.1358	ACID	C23H23N3O5S	N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)Sc3ccccc3CO)c4ccccc4
115763	CHEMBL73622	Brobactam	0	280.14	1.04	82.91	4	1	0	1	N	2.43		4.36	.64	0	14	.57	4	1	0	278.9565	ACID	C8H10BrNO3S	CC1(C)S[C@@H]2[C@H](Br)C(=O)N2[C@H]1C(=O)O
115767	CHEMBL310478		0	424.47	-2.17	150.92	7	3	0	6	N	3.81	6.87	-1.7	-4.81	2	30	.45	8	4	0	424.1205	ACID	C21H20N4O4S	N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)Sc3ccncc3)c4ccccc4
115794	CHEMBL310221		0	397.33	2.37	145.87	7	1	0	4	N	2.4	3.71	5.75	2.03	0	20	.57	5	1	0	395.9272	ACID	C11H13BrN2O3S3	C[C@@]1(CSC2=NCCS2)S[C@@H]3[C@H](Br)C(=O)N3[C@H]1C(=O)O
115796	CHEMBL311020		0	213.23	-.31	63.68	4	0	0	4	N			.23	.23	0	15	.47	5	0	0	213.1001	NEUTRAL	C10H15NO4	C[C@@H](COC(=O)C)[C@H]1CN(C(=O)C)C1=O
